Vorname,Schweiz,Deutschschweiz,Romandie,Italienische Schweiz
Noah,559,385,149,23
Liam,391,227,139,24
Matteo,385,293,78,13
Luca,368,288,67,10
Gabriel,327,143,165,18
Leon,315,287,22,4
Elias,303,242,57,3
Louis,272,180,92,NA
Lio,270,266,NA,NA
Nino,258,237,19,NA
